1	1
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	11
1	12
1	13
1	14
1	15
1	16
1	17
1	18
1	19
1	20
1	21
1	22
1	23
1	24
1	25
1	26
1	27
1	28
1	29
1	30
2	1
2	5
2	11
2	16
2	21
2	30
3	1
3	5
3	11
3	16
3	21
3	30
4	1
4	5
4	11
4	16
4	21
4	30
5	1
5	5
5	11
5	16
5	21
5	30
6	1
6	5
6	11
6	12
6	13
6	14
6	15
6	16
6	17
6	18
6	19
6	20
6	21
6	22
6	23
6	24
6	25
6	26
6	27
6	28
6	29
6	30
7	1
7	5
7	18
7	24
7	30
8	1
8	5
8	18
8	24
8	30
9	1
9	5
9	18
9	24
9	30
10	1
10	5
10	18
10	24
10	30
11	1
11	2
11	3
11	4
11	5
11	6
11	7
11	8
11	9
11	10
11	11
11	12
11	13
11	14
11	15
11	16
11	17
11	18
11	19
11	20
11	21
11	22
11	23
11	24
11	25
11	26
11	27
11	28
11	29
11	30
12	1
12	11
12	17
12	21
12	30
13	1
13	11
13	17
13	21
13	30
14	1
14	11
14	17
14	21
14	30
15	1
15	11
15	17
15	21
15	22
15	23
15	24
15	25
15	26
15	27
15	28
15	29
15	30
16	1
16	11
16	17
16	21
16	22
16	23
16	24
16	25
16	26
16	27
16	28
16	29
16	30
17	1
17	2
17	3
17	4
17	5
17	6
17	7
17	11
17	17
17	21
17	22
17	23
17	24
17	25
17	26
17	27
17	28
17	29
17	30
18	1
18	7
18	11
18	17
18	21
18	22
18	23
18	24
18	25
18	26
18	27
18	28
18	29
18	30
19	1
19	7
19	11
19	17
19	21
19	22
19	23
19	24
19	25
19	26
19	27
19	28
19	29
19	30
20	1
20	7
20	8
20	9
20	10
20	11
20	17
20	21
20	30
21	1
21	7
21	11
21	12
21	13
21	14
21	15
21	16
21	17
21	18
21	19
21	20
21	21
21	30
22	1
22	7
22	11
22	16
22	21
22	30
23	1
23	7
23	11
23	16
23	21
23	22
23	23
23	24
23	25
23	26
23	27
23	28
23	29
23	30
24	1
24	2
24	3
24	4
24	5
24	6
24	7
24	11
24	16
24	21
24	30
25	1
25	7
25	8
25	9
25	10
25	11
25	16
25	17
25	18
25	19
25	20
25	21
25	30
26	1
26	7
26	11
26	16
26	21
26	30
27	1
27	7
27	11
27	16
27	21
27	22
27	23
27	24
27	25
27	26
27	27
27	28
27	29
27	30
28	1
28	7
28	11
28	16
28	21
28	30
29	1
29	7
29	11
29	16
29	21
29	30
30	1
30	2
30	3
30	4
30	5
30	6
30	7
30	8
30	9
30	10
30	11
30	12
30	13
30	14
30	15
30	16
30	17
30	18
30	19
30	20
30	21
30	22
30	23
30	24
30	25
30	26
30	27
30	28
30	29
30	30
